" ","  ","  "
"שם לקוח","כתובת","מספר חוזה"
" "," "," "
"תמה פלהיימר","בורוכוב 6 ירושלים","000348915728"
" ","  ","  "
"סוג מונה","קוד מונה","מספר מונה"
" "," "," "," "," "," "
"צריכה","67","24408557",,,
"______________________","________________________________","_____________","_______________","________________","________________"
" ","  ","  ","  ","  ","  "
"קוד ומספר מונה","סוג מונה","תאריך","מועד תחילת הפעימה","צריכה/ייצור בקוט""ש","הזרמה בקוט""ש"
" "," "," "," "," "," "
"67-24408557","צריכה","08/07/2025","00:00",.135,0
"67-24408557","צריכה","08/07/2025","00:15",.139,0
"67-24408557","צריכה","08/07/2025","00:30",.117,0
"67-24408557","צריכה","08/07/2025","00:45",.117,0
"67-24408557","צריכה","08/07/2025","01:00",.135,0
"67-24408557","צריכה","08/07/2025","01:15",.144,0
"67-24408557","צריכה","08/07/2025","01:30",.134,0
"67-24408557","צריכה","08/07/2025","01:45",.123,0
"67-24408557","צריכה","08/07/2025","02:00",.126,0
"67-24408557","צריכה","08/07/2025","02:15",.128,0
"67-24408557","צריכה","08/07/2025","02:30",.094,0
"67-24408557","צריכה","08/07/2025","02:45",.118,0
"67-24408557","צריכה","08/07/2025","03:00",.125,0
"67-24408557","צריכה","08/07/2025","03:15",.088,0
"67-24408557","צריכה","08/07/2025","03:30",.114,0
"67-24408557","צריכה","08/07/2025","03:45",.107,0
"67-24408557","צריכה","08/07/2025","04:00",.09,0
"67-24408557","צריכה","08/07/2025","04:15",.111,0
"67-24408557","צריכה","08/07/2025","04:30",.093,0
"67-24408557","צריכה","08/07/2025","04:45",.102,0
"67-24408557","צריכה","08/07/2025","05:00",.101,0
"67-24408557","צריכה","08/07/2025","05:15",.082,0
"67-24408557","צריכה","08/07/2025","05:30",.109,0
"67-24408557","צריכה","08/07/2025","05:45",.083,0
"67-24408557","צריכה","08/07/2025","06:00",.094,0
"67-24408557","צריכה","08/07/2025","06:15",.073,0
"67-24408557","צריכה","08/07/2025","06:30",.135,0
"67-24408557","צריכה","08/07/2025","06:45",.038,0
"67-24408557","צריכה","08/07/2025","07:00",.033,0
"67-24408557","צריכה","08/07/2025","07:15",.033,0
"67-24408557","צריכה","08/07/2025","07:30",.032,0
"67-24408557","צריכה","08/07/2025","07:45",.138,0
